"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","go_id","uniprotswissprot"
"YER178W",4432.94485845572,-0.273710468404633,0.0793487521448181,-3.44946153538859,0.00056170574829083,0.0425029071174444,"YER178W",856925,"GO:0004739","P16387"
"YHL021C",2708.48223952394,-0.434678830718207,0.115885060057106,-3.75094796951398,0.000176167257399815,0.0357901192529962,"YHL021C",856365,"GO:0051213","P23180"
"YKL117W",4424.43925697577,-0.573235987025748,0.14948473736625,-3.83474592206208,0.000125694157407372,0.0357901192529962,"YKL117W",853743,"GO:0043392","P28707"
"YBL092W",15524.1807776975,0.428481230891413,0.116691521730363,3.67191398773167,0.0002407407124641,0.0357901192529962,"YBL092W",852185,"GO:0005840","P38061"
"YAR002C-A",4654.69932378418,-0.391805048137422,0.111090238271637,-3.52690798249423,0.000420442855988788,0.0425029071174444,"YAR002C-A",851264,"GO:0006621","Q05359"
"YOL109W",4455.99854118887,-0.628081546058964,0.182335091641403,-3.4446553343347,0.000571787988127055,0.0425029071174444,"YOL109W",854040,"GO:0019897","Q08245"
